Takt;A;U;W;F;E;T;Max;PL of Max
1;0.0461538;0.769231;0.384615;0.230769;0.0461538;0.115385;E;0.769231
2;0.0461538;0.769231;0.384615;0.230769;0.0461538;0.115385;E;0.769231
3;0.0461538;0.769231;0.384615;0.230769;0.0461538;0.115385;E;0.769231
4;0.0461538;0.769231;0.384615;0.230769;0.0461538;0.115385;E;0.769231
5;0.0461538;0.769231;0.384615;0.230769;0.0461538;0.115385;E;0.769231
6;0.0810811;0.405405;0.675676;0.405405;0.27027;0.675676;F;0.675676
7;0.0810811;0.405405;0.675676;0.405405;0.27027;0.675676;F;0.675676
8;0.0810811;0.405405;0.675676;0.405405;0.27027;0.675676;F;0.675676
9;0.0461538;0.769231;0.384615;0.230769;0.0461538;0.115385;E;0.769231
10;0.0461538;0.769231;0.384615;0.230769;0.0461538;0.115385;E;0.769231
11;0.024;0.08;1;0.024;0.024;0.06;F;1
12;0.024;0.024;1;0.024;0.08;0.2;F;1
13;0.12;0.024;1;0.024;0.4;1;F;1
14;0.12;0.024;1;0.024;0.4;1;F;1
15;0.12;0.024;1;0.024;0.4;1;F;1
16;0.024;0.08;1;0.024;0.024;0.06;F;1
17;0.12;0.024;1;0.024;0.4;1;F;1
18;0.024;0.024;1;0.024;0.08;0.2;F;1
19;0.12;0.024;1;0.024;0.4;1;F;1
20;0.12;0.024;1;0.024;0.4;1;F;1
21;0.3;0.024;1;0.024;1;1;F;1
22;0.3;0.024;1;0.024;1;1;F;1
23;0.12;0.024;1;0.024;0.4;1;F;1
24;0.024;0.024;1;0.024;0.08;0.2;F;1
25;0.0810811;0.405405;0.675676;0.405405;0.27027;0.675676;F;0.675676
26;0.024;0.024;1;0.024;0.08;0.2;F;1
27;0.024;0.024;1;0.024;0.08;0.2;F;1
28;0.024;0.024;1;0.024;0.08;0.2;F;1
29;0.024;0.024;1;0.024;0.08;0.2;F;1
30;0.024;0.08;1;0.024;0.024;0.06;F;1
31;0.024;0.024;1;0.024;0.08;0.2;F;1
32;0.024;0.024;1;0.024;0.08;0.2;F;1
33;0.024;0.08;1;0.024;0.024;0.06;F;1
34;0.024;0.08;1;0.024;0.024;0.06;F;1
35;0.0461538;0.769231;0.384615;0.230769;0.0461538;0.115385;E;0.769231
36;0.024;0.08;1;0.024;0.024;0.06;F;1
37;0.024;0.08;1;0.024;0.024;0.06;F;1
38;0.0461538;0.769231;0.384615;0.230769;0.0461538;0.115385;E;0.769231
39;0.0461538;0.769231;0.384615;0.230769;0.0461538;0.115385;E;0.769231
40;0.024;0.024;1;0.024;0.08;0.2;F;1
41;0.024;0.024;1;0.024;0.08;0.2;F;1
42;0.024;0.024;1;0.024;0.08;0.2;F;1
43;0.0810811;0.405405;0.675676;0.405405;0.27027;0.675676;F;0.675676
44;0.024;0.08;1;0.024;0.024;0.06;F;1
45;0.024;0.08;1;0.024;0.024;0.06;F;1
46;0.0461538;0.769231;0.384615;0.230769;0.0461538;0.115385;E;0.769231
47;0.024;0.024;1;0.024;0.08;0.2;F;1
48;0.0810811;0.405405;0.675676;0.405405;0.27027;0.675676;F;0.675676
49;0.0810811;0.405405;0.675676;0.405405;0.27027;0.675676;F;0.675676
50;0.0461538;0.769231;0.384615;0.230769;0.0461538;0.115385;E;0.769231
